day,method,case,t_idx,load_kw
2023-07-01,Persistence,EV,62,44.136
2023-07-01,Persistence,EV,63,52.8
2023-07-01,Persistence,EV,64,66.0
2023-07-01,Persistence,EV,65,32.5492
2023-07-01,Persistence,EV,66,15.5552
2023-07-01,Persistence,EV,67,32.5492
2023-07-01,Persistence,EV,68,32.5492
2023-07-01,Persistence,EV,69,29.584
2023-07-01,Persistence,EV,70,27.2372
2023-07-01,Persistence,EV,71,24.056
2023-07-01,Persistence,EV,72,19.8
2023-07-01,Persistence,EV,73,32.5492
2023-07-01,Persistence,EV,74,32.5492
2023-07-01,Persistence,EV,75,26.4
2023-07-01,Persistence,EV,76,18.244
2023-07-01,Persistence,EV,77,26.4
2023-07-01,Persistence,EV,78,19.8
2023-07-01,Persistence,EV,79,26.4
2023-07-01,Persistence,EV,80,28.0456
2023-07-01,Persistence,EV,81,26.452
2023-07-01,Persistence,EV,82,18.208
2023-07-01,Persistence,EV,83,26.4
2023-07-01,Persistence,EV,84,19.8
2023-07-01,Persistence,EV,85,39.6
2023-07-01,Persistence,EV,86,33.0
2023-07-01,Persistence,EV,87,33.0
2023-07-01,Persistence,EV,88,23.476
2023-07-01,Persistence,EV,89,19.8
2023-07-01,Persistence,EV,90,6.6
2023-07-01,Persistence,EV,91,6.6
2023-07-01,Persistence,EV,92,0.0
2023-07-01,Persistence,EV,93,4.788
2023-07-01,Persistence,EV,94,6.6
2023-07-01,Persistence,EV,95,0.0
2023-07-01,Persistence,EV,96,0.0
2023-07-01,Persistence,Charger,1,0.0
2023-07-01,Persistence,Charger,2,0.0
2023-07-01,Persistence,Charger,3,0.0
2023-07-01,Persistence,Charger,4,6.6
2023-07-01,Persistence,Charger,5,6.6
2023-07-01,Persistence,Charger,6,6.6
2023-07-01,Persistence,Charger,7,6.6
2023-07-01,Persistence,Charger,8,13.2
2023-07-01,Persistence,Charger,9,13.2
2023-07-01,Persistence,Charger,10,13.2
2023-07-01,Persistence,Charger,11,13.2
2023-07-01,Persistence,Charger,12,19.8
2023-07-01,Persistence,Charger,13,19.8
2023-07-01,Persistence,Charger,14,19.8
2023-07-01,Persistence,Charger,15,19.8
2023-07-01,Persistence,Charger,16,19.8
2023-07-01,Persistence,Charger,17,19.8
2023-07-01,Persistence,Charger,18,26.4
2023-07-01,Persistence,Charger,19,26.4
