target_day,method,actual_session_count,forecast_session_count,matched_session_count,count_mae_per_charger,arrival_mae_slots,departure_mae_slots,energy_mae_kwh,arrival_upper_coverage,departure_lower_coverage,energy_upper_coverage
2023-08-10,Persistence,11.0,11.0,9.0,0.6666666666666666,13.777777777777779,16.11111111111111,10.975666666666667,,,
2023-08-10,HistoricalMedian,11.0,11.0,8.0,1.0,10.375,13.75,6.36075,1.0,0.75,0.875
2023-08-10,ConformalRobust,11.0,11.0,8.0,1.0,20.875,13.375,9.813,,,
2023-08-11,Persistence,6.0,9.0,4.0,1.1666666666666667,4.75,6.5,6.4712499999999995,,,
2023-08-11,HistoricalMedian,6.0,8.0,4.0,1.0,3.25,8.5,4.407125000000001,1.0,0.75,1.0
2023-08-11,ConformalRobust,6.0,8.0,4.0,1.0,18.75,9.5,12.69825,,,
2023-08-12,Persistence,6.0,9.0,5.0,0.8333333333333334,9.0,4.8,3.7715999999999994,,,
2023-08-12,HistoricalMedian,6.0,6.0,3.0,1.0,3.3333333333333335,3.3333333333333335,0.7319999999999997,1.0,1.0,1.0
2023-08-12,ConformalRobust,6.0,6.0,3.0,1.0,13.666666666666666,6.666666666666667,6.2043333333333335,,,
2023-08-13,Persistence,8.0,7.0,5.0,0.8333333333333334,6.4,6.0,3.373,,,
2023-08-13,HistoricalMedian,8.0,6.0,5.0,0.6666666666666666,6.6,6.4,4.4017,1.0,1.0,1.0
2023-08-13,ConformalRobust,8.0,6.0,5.0,0.6666666666666666,23.2,17.6,4.7378,,,
2023-08-14,Persistence,9.0,10.0,8.0,0.5,5.75,6.0,11.0115,,,
2023-08-14,HistoricalMedian,9.0,13.0,8.0,1.0,5.375,6.25,8.2056875,1.0,1.0,0.875
2023-08-14,ConformalRobust,9.0,13.0,8.0,1.0,17.625,7.25,12.832125,,,
2023-08-15,Persistence,8.0,10.0,7.0,0.6666666666666666,5.571428571428571,8.285714285714286,8.163428571428572,,,
2023-08-15,HistoricalMedian,8.0,11.0,7.0,0.8333333333333334,10.714285714285714,8.857142857142858,11.62907142857143,0.8571428571428571,0.8571428571428571,0.7142857142857143
2023-08-15,ConformalRobust,8.0,11.0,7.0,0.8333333333333334,16.857142857142858,13.142857142857142,14.838,,,
2023-08-16,Persistence,13.0,11.0,10.0,0.6666666666666666,16.3,16.0,8.3057,,,
2023-08-16,HistoricalMedian,13.0,12.0,12.0,0.16666666666666666,11.0,12.666666666666666,6.471583333333332,0.9166666666666666,0.8333333333333334,1.0
2023-08-16,ConformalRobust,13.0,12.0,12.0,0.16666666666666666,22.0,12.833333333333334,9.810833333333333,,,
2023-08-17,Persistence,10.0,11.0,9.0,0.5,15.333333333333334,19.666666666666668,9.271333333333335,,,
2023-08-17,HistoricalMedian,10.0,9.0,8.0,0.5,7.875,13.75,11.005062500000001,0.875,0.75,0.875
2023-08-17,ConformalRobust,10.0,9.0,8.0,0.5,18.875,12.875,12.557625000000002,,,
2023-08-18,Persistence,10.0,6.0,6.0,0.6666666666666666,13.333333333333334,16.666666666666668,7.802,,,
2023-08-18,HistoricalMedian,10.0,8.0,6.0,1.0,9.833333333333334,12.333333333333334,6.8581666666666665,0.8333333333333334,0.8333333333333334,1.0
2023-08-18,ConformalRobust,10.0,8.0,6.0,1.0,9.833333333333334,6.166666666666667,5.919666666666667,,,
2023-08-19,Persistence,7.0,6.0,4.0,0.8333333333333334,9.75,9.75,2.26725,,,
2023-08-19,HistoricalMedian,7.0,9.0,6.0,0.6666666666666666,9.833333333333334,8.833333333333334,3.68625,0.8333333333333334,1.0,1.0
2023-08-19,ConformalRobust,7.0,9.0,6.0,0.6666666666666666,19.5,15.166666666666666,7.581666666666667,,,
2023-08-20,Persistence,0.0,8.0,0.0,1.3333333333333333,nan,nan,nan,,,
2023-08-20,HistoricalMedian,0.0,7.0,0.0,1.1666666666666667,nan,nan,nan,nan,nan,nan
2023-08-20,ConformalRobust,0.0,7.0,0.0,1.1666666666666667,nan,nan,nan,,,
2023-08-21,Persistence,7.0,9.0,6.0,0.6666666666666666,10.833333333333334,14.666666666666666,4.021,,,
2023-08-21,HistoricalMedian,7.0,12.0,6.0,1.1666666666666667,10.833333333333334,15.0,3.226416666666666,1.0,0.6666666666666666,1.0
2023-08-21,ConformalRobust,7.0,12.0,6.0,1.1666666666666667,20.5,13.333333333333334,8.107999999999999,,,
2023-08-22,Persistence,7.0,8.0,5.0,0.8333333333333334,9.6,16.4,7.7834,,,
2023-08-22,HistoricalMedian,7.0,10.0,5.0,1.1666666666666667,7.2,17.6,8.2815,1.0,0.8,1.0
2023-08-22,ConformalRobust,7.0,10.0,5.0,1.1666666666666667,12.2,13.2,11.2956,,,
2023-08-23,Persistence,12.0,13.0,11.0,0.5,10.636363636363637,8.727272727272727,7.141454545454545,,,
2023-08-23,HistoricalMedian,12.0,12.0,11.0,0.3333333333333333,5.181818181818182,5.545454545454546,4.936,1.0,1.0,1.0
2023-08-23,ConformalRobust,12.0,12.0,11.0,0.3333333333333333,17.818181818181817,6.545454545454546,6.142363636363637,,,
2023-08-24,Persistence,10.0,10.0,7.0,1.0,13.285714285714286,16.142857142857142,8.335,,,
